# path	seed	style	size
monsters/animals/giant-rat.png	1382582154	bourassa,darkest	1024x1024
monsters/animals/giant-lizard.png	992192678	bourassa,darkest	1024x1024
monsters/beasts/goblin.png	1088247870	bourassa,darkest	1024x1024
monsters/undead/skeleton.png	1203433844	bourassa,darkest	1024x1024
monsters/beasts/hobgoblin.png	2031846279	bourassa,darkest	1024x1024
monsters/animals/giant-spider.png	1149397941	bourassa,darkest	1024x1024
monsters/undead/ghoul.png	1610344623	bourassa,darkest	1024x1024
monsters/beasts/gargoyle.png	1189210626	bourassa,darkest	1024x1024
monsters/humanoids/evil-hero.png	1048224443	bourassa,darkest	1024x1024
monsters/animals/giant-snake.png	1049861610	bourassa,darkest	1024x1024
monsters/beasts/werewolf.png	1505935535	bourassa,darkest	1024x1024
monsters/beasts/ogre.png	1270731506	bourassa,darkest	1024x1024
monsters/undead/mummy.png	24636369	bourassa,darkest	1024x1024
monsters/beasts/troll.png	1685106331	bourassa,darkest	1024x1024
monsters/undead/vampire.png	513769651	bourassa,darkest	1024x1024
monsters/beasts/giant.png	1144243586	bourassa,darkest	1024x1024
monsters/humanoids/witch.png	2114285653	bourassa,darkest	1024x1024
monsters/misc/green-slime.png	307431055	bourassa,darkest	1024x1024
monsters/insects/purple-worm.png	701923886	bourassa,darkest	1024x1024
monsters/misc/black-pudding.png	1379689790	bourassa,darkest	1024x1024
monsters/humanoids/evil-wizard.png	758610039	bourassa,darkest	1024x1024
monsters/beasts/red-dragon.png	2032779774	bourassa,darkest	1024x1024
monsters/beasts/blue-dragon.png	1672635069	bourassa,darkest	1024x1024
treasures/silver-cup.png	1525752922	painterlyscene,item	1024x1024
treasures/sack-of-gold.png	1981731055	painterlyscene,item	1024x1024
treasures/silver-ring.png	1483546304	painterlyscene,item	1024x1024
treasures/gold-cup.png	246137203	painterlyscene,item	1024x1024
treasures/gold-ring.png	1143241350	painterlyscene,item	1024x1024
treasures/silver-coffer.png	278951269	painterlyscene,item	1024x1024
treasures/jade-idol.png	1370046334	painterlyscene,item	1024x1024
treasures/huge-emerald.png	79471913	painterlyscene,item	1024x1024
treasures/huge-sapphire.png	778255485	painterlyscene,item	1024x1024
treasures/silver-necklace.png	1413705799	painterlyscene,item	1024x1024
treasures/huge-ruby.png	1183877382	painterlyscene,item	1024x1024
treasures/gold-necklace.png	1613389263	painterlyscene,item	1024x1024
treasures/huge-diamond.png	1345141259	painterlyscene,item	1024x1024
treasures/crown-of-gems.png	431286810	painterlyscene,item	1024x1024
treasures/dragon-hoard.png	1643462798	painterlyscene,item	1024x1024
items/magic-sword-1.png	256241506	painterlyscene,item	1024x1024
items/torch.png	767218741	painterlyscene,item	1024x1024
items/esp-medallion.png	2067617008	painterlyscene,item	1024x1024
items/shield.png	149936838	painterlyscene,item	1024x1024
items/elf-boots.png	7997322	painterlyscene,item	1024x1024
items/secret-door-card.png	1006767765	painterlyscene,item	1024x1024
items/crystal-ball.png	1049595303	painterlyscene,item	1024x1024
items/magic-bow.png	462275324	painterlyscene,item	1024x1024
items/magic-sword-2.png	2014619510	painterlyscene,item	1024x1024
items/teleport-scroll.png	1676328733	painterlyscene,item	1024x1024
items/magic-armor.png	1695143875	painterlyscene,item	1024x1024
items/fire-ball-scroll.png	950976131	painterlyscene,item	1024x1024
items/lightning-scroll.png	824024888	painterlyscene,item	1024x1024
items/key-medallion.png	37520296	painterlyscene,item	1024x1024
items/sword.png	1689160663	painterlyscene,item	1024x1024
items/staff.png	812646334	painterlyscene,item	1024x1024
items/elven-blade.png	1130015539	painterlyscene,item	1024x1024
events/rest.png	1977892269	painterlyscene,darkest	1024x1024
screens/you-win.png	1620897906	painterlyscene,dosrpg	1024x1024
screens/you-died.png	679765874	painterlyscene,dosrpg	1024x1024
markers/gravestone.png	911231178	painterlyscene,dark	1024x1024
markers/player-body.png	1932540108	painterlyscene,dark	1024x1024
markers/lost-cache.png	131220403	painterlyscene,dark	1024x1024
markers/cursed-rune.png	685968953	painterlyscene,dark	1024x1024
classes/hero.png	792595236	bourassa,portrait	1024x1024
classes/elf.png	733959423	bourassa,portrait	1024x1024
classes/superhero.png	643983586	bourassa,portrait	1024x1024
classes/wizard.png	1562880478	bourassa,portrait	1024x1024
rooms/main-gallery.png	2001595082	painterlyscene,dosrpg	1024x1024
rooms/barracks.png	1717921008	painterlyscene,dosrpg	1024x1024
rooms/armory.png	1362729443	painterlyscene,dosrpg	1024x1024
rooms/stone-room.png	1262168292	painterlyscene,dosrpg	1024x1024
rooms/store-room.png	611750414	painterlyscene,dosrpg	1024x1024
rooms/torture-chamber.png	117825645	painterlyscene,dosrpg	1024x1024
rooms/kitchen.png	818130742	painterlyscene,dosrpg	1024x1024
rooms/wizards-lab.png	743571572	painterlyscene,dosrpg	1024x1024
rooms/wizards-treasure.png	463811603	painterlyscene,dosrpg	1024x1024
rooms/kings-library.png	963724353	painterlyscene,dosrpg	1024x1024
rooms/kings-treasure.png	403237296	painterlyscene,dosrpg	1024x1024
rooms/queens-armor.png	482594533	painterlyscene,dosrpg	1024x1024
rooms/queens-treasure.png	1261360063	painterlyscene,dosrpg	1024x1024
rooms/the-crypt.png	965030189	painterlyscene,dosrpg	1024x1024
events/curio-chest.png	1028893012	painterlyscene,darkest	1024x1024
events/fountain.png	1388614706	painterlyscene,darkest	1024x1024
events/shrine.png	1294933071	painterlyscene,darkest	1024x1024
events/gamblers-altar.png	1690812036	painterlyscene,darkest	1024x1024
events/hooded-peddler.png	1142089295	painterlyscene,darkest	1024x1024
events/idol.png	1968172383	painterlyscene,darkest	1024x1024
events/fallen-adventurer.png	1911054102	painterlyscene,darkest	1024x1024
events/glowing-mushrooms.png	451242588	painterlyscene,darkest	1024x1024
events/rune-obelisk.png	1445329260	painterlyscene,darkest	1024x1024
events/weapon-cache.png	1180077029	painterlyscene,darkest	1024x1024
events/mimic.png	1441843106	painterlyscene,darkest	1024x1024
strategic-combat/monsters/animals/giant-rat.png	561131048	bourassa,darkest	1024x1024
strategic-combat/monsters/animals/giant-lizard.png	1924315181	bourassa,darkest	1024x1024
strategic-combat/monsters/beasts/goblin.png	445891989	bourassa,darkest	1024x1024
strategic-combat/monsters/undead/skeleton.png	1264455597	bourassa,darkest	1024x1024
strategic-combat/monsters/beasts/hobgoblin.png	386250156	bourassa,darkest	1024x1024
strategic-combat/monsters/animals/giant-spider.png	1994617708	bourassa,darkest	1024x1024
strategic-combat/monsters/undead/ghoul.png	1783002944	bourassa,darkest	1024x1024
strategic-combat/monsters/beasts/gargoyle.png	2004867495	bourassa,darkest	1024x1024
strategic-combat/monsters/humanoids/evil-hero.png	395999035	bourassa,darkest	1024x1024
strategic-combat/monsters/animals/giant-snake.png	423363180	bourassa,darkest	1024x1024
