# path	seed	style	size
monsters/animals/giant-rat.png	985882774	darkest	1024x1024
monsters/animals/giant-lizard.png	428585837	darkest	1024x1024
monsters/beasts/goblin.png	1593875637	darkest	1024x1024
monsters/undead/skeleton.png	1898375484	darkest	1024x1024
monsters/beasts/hobgoblin.png	1873361560	darkest	1024x1024
monsters/animals/giant-spider.png	2138430496	darkest	1024x1024
monsters/undead/ghoul.png	1270387677	darkest	1024x1024
monsters/beasts/gargoyle.png	248130003	darkest	1024x1024
monsters/humanoids/evil-hero.png	394538782	darkest	1024x1024
monsters/animals/giant-snake.png	2041737774	darkest	1024x1024
monsters/beasts/werewolf.png	1280670459	darkest	1024x1024
monsters/beasts/ogre.png	1235857453	darkest	1024x1024
monsters/undead/mummy.png	735548970	darkest	1024x1024
monsters/beasts/troll.png	577020046	darkest	1024x1024
monsters/undead/vampire.png	1662884857	darkest	1024x1024
monsters/beasts/giant.png	955202752	darkest	1024x1024
monsters/humanoids/witch.png	2101813584	darkest	1024x1024
monsters/misc/green-slime.png	158765860	darkest	1024x1024
monsters/insects/purple-worm.png	1768037153	darkest	1024x1024
monsters/misc/black-pudding.png	1007354813	darkest	1024x1024
monsters/humanoids/evil-wizard.png	1928650888	darkest	1024x1024
monsters/beasts/red-dragon.png	409737988	darkest	1024x1024
monsters/beasts/blue-dragon.png	373412209	darkest	1024x1024
treasures/silver-cup.png	2008419503	item	1024x1024
treasures/sack-of-gold.png	515999174	item	1024x1024
treasures/silver-ring.png	1412866112	item	1024x1024
treasures/gold-cup.png	1140426417	item	1024x1024
treasures/gold-ring.png	8011642	item	1024x1024
treasures/silver-coffer.png	2071292937	item	1024x1024
treasures/jade-idol.png	1160175269	item	1024x1024
treasures/huge-emerald.png	465351248	item	1024x1024
treasures/huge-sapphire.png	308929812	item	1024x1024
treasures/silver-necklace.png	852426178	item	1024x1024
treasures/huge-ruby.png	1332675665	item	1024x1024
treasures/gold-necklace.png	1460788399	item	1024x1024
treasures/huge-diamond.png	282770931	item	1024x1024
treasures/crown-of-gems.png	1891107387	item	1024x1024
treasures/dragon-hoard.png	1950492551	item	1024x1024
items/magic-sword-1.png	1710434852	item	1024x1024
items/torch.png	1296932998	item	1024x1024
items/esp-medallion.png	1175935503	item	1024x1024
items/shield.png	1476147997	item	1024x1024
items/elf-boots.png	1935912477	item	1024x1024
items/secret-door-card.png	850125822	item	1024x1024
